week_start,commits,significant_lines_changed,additions,deletions,prs,average_pr_size,median_pr_size,q1_pr_size,q3_pr_size,total_pr_size,max_pr_size
2025-07-28,304,10485,5825,4660,114,22.49,8.5,3.0,20.0,2564,236
2025-08-04,494,38707,23051,15656,136,43.26,16.0,6.0,43.25,5884,493
2025-08-11,353,23267,16803,6464,89,113.31,25.0,6.0,63.0,10085,3951
2025-08-18,436,144446,103378,41068,166,118.4,25.0,6.25,80.75,19654,3360
2025-08-25,395,66380,52337,14043,190,95.27,16.0,4.25,75.0,18102,2895
2025-09-01,304,13996,8566,5430,135,56.42,15.0,5.0,37.5,7617,1230
2025-09-08,321,45401,17858,27543,123,95.24,20.0,6.0,64.0,11714,3724
2025-09-15,97,6024,4691,1333,44,65.84,14.0,5.75,74.75,2897,527
2025-09-22,380,23447,17028,6419,146,69.11,13.0,4.25,56.5,10090,2647
2025-09-29,339,25297,17557,7740,152,78.78,14.5,4.0,64.0,11975,1300
2025-10-06,395,33057,18475,14582,126,148.38,32.5,8.0,102.75,18696,2189
2025-10-13,393,69788,43687,26101,130,84.72,17.0,5.25,61.75,11014,902
2025-10-20,667,161116,118594,42522,192,177.9,35.0,8.0,133.5,34157,7398
2025-10-27,511,105600,88115,17485,178,117.93,28.0,6.0,109.25,20991,3816
2025-11-03,567,33359,20911,12448,238,52.93,11.5,4.0,36.0,12598,2308
2025-11-10,558,76000,44458,31542,191,100.92,17.0,6.0,94.0,19276,2308
2025-11-17,446,56679,27412,29267,193,194.53,27.0,6.0,127.0,37544,16990
2025-11-24,416,125668,110289,15379,167,155.69,24.0,6.5,86.5,26000,4325
2025-12-01,477,33525,22340,11185,223,57.97,14.0,5.0,49.0,12928,1382
2025-12-08,361,18508,10734,7774,164,73.63,14.0,4.0,42.5,12076,3052
2025-12-15,439,24471,18042,6429,200,52.95,14.5,4.75,48.25,10590,1464
2025-12-22,119,6074,3684,2390,16,117.12,47.5,9.25,117.25,1874,543
2025-12-29,159,13095,7587,5508,28,281.36,17.0,6.75,66.25,7878,6778
2026-01-05,414,41150,22732,18418,153,191.95,12.0,5.0,67.0,29368,5452
